,Name,smile,BA_pct,label1,label2,label3a,label3b
0,sulfadiazine,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,90.0,high,very high,very high,very high
1,clofarabine,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,50.0,moderate,low,moderate,moderate
2,sulfamethoxazole,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,99.0,high,very high,very high,very high
3,tolazoline,c1ccc(CC2=NCCN2)cc1,90.0,high,very high,very high,very high
4,cotinine,CN1C(=O)CCC1c1cccnc1,97.0,high,very high,very high,very high
5,methylaminorex,CC1NC(=N)OC1c1ccccc1,62.0,moderate,high,moderate,high
6,serotonin,NCCc1c[nH]c2ccc(O)cc12,50.0,moderate,low,moderate,moderate
7,ritipenem,CC(O)C1C(=O)N2C(C(=O)O)=C(COC(=N)O)SC12,37.0,moderate,low,low,low
8,didanosine,OCC1CCC(n2cnc3c(O)ncnc32)O1,38.0,moderate,low,low,low
9,tazobactam,CC1(Cn2ccnn2)C(C(=O)O)N2C(=O)CC2S1(=O)=O,0.0,low,very low,very low,very low
10,phenylbutyrate,O=C(O)CCCc1ccccc1,78.0,high,high,high,high
11,alovudine,Cc1cn(C2CC(F)C(CO)O2)c(=O)nc1O,80.0,high,high,high,high
12,fludarabine,Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,57.5,moderate,high,moderate,moderate
13,guanoxan,N=C(N)NCC1COc2ccccc2O1,50.0,moderate,low,moderate,moderate
14,nifurtimox,CC1CS(=O)(=O)CCN1N=Cc1ccc([N+](=O)[O-])o1,26.0,low,low,low,low
15,zidovudine,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)nc1O,63.0,moderate,high,high,high
16,vidarabine,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,0.0,low,very low,very low,very low
17,phenacetin,CCOc1ccc(N=C(C)O)cc1,25.0,low,low,low,low
18,methyldopa,CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,42.0,moderate,low,moderate,moderate
19,seletracetam,CCC(C(=N)O)N1CC(C=C(F)F)CC1=O,90.0,high,very high,very high,very high
20,nicotine,CN1CCCC1c1cccnc1,30.0,low,low,low,low
21,carbidopa,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,70.0,high,high,high,high
22,telbivudine,Cc1cn(C2CC(O)C(CO)O2)c(=O)nc1O,68.0,high,high,high,high
23,proxyphylline,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,99.0,high,very high,very high,very high
24,diprophylline,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,90.0,high,very high,very high,very high
25,tolmesoxide,COc1cc(C)c(S(C)=[OH+])cc1OC,85.0,high,very high,very high,very high
26,guaifenesin,COc1ccccc1OCC(O)CO,80.0,high,high,high,high
27,methamphetamine,CNC(C)Cc1ccccc1,67.0,high,high,high,high
28,benserazide,NC(CO)C(O)=NNCc1ccc(O)c(O)c1O,50.0,moderate,low,moderate,moderate
29,phenformin,N=C(N)NC(=N)NCCc1ccccc1,55.0,moderate,high,moderate,moderate
30,penciclovir,N=c1nc(O)c2ncn(CCC(CO)CO)c2[nH]1,77.0,high,high,high,high
31,talsaclidine,C#CCOC1CN2CCC1CC2,90.0,high,very high,very high,very high
32,edrophonium,CC[N+](C)(C)c1cccc(O)c1,0.0,low,very low,very low,very low
33,pseudoephedrine,CNC(C)C(O)c1ccccc1,100.0,high,very high,very high,very high
34,pholedrine,CNC(C)Cc1ccc(O)cc1,20.0,low,very low,low,low
35,etilefrine,CCNCC(O)c1cccc(O)c1,50.0,moderate,low,moderate,moderate
36,desglymidodrine,COc1ccc(OC)c(C(O)CN)c1,93.0,high,very high,very high,very high
37,biotin,O=C(O)CCCCC1SCC2N=C(O)NC21,99.0,high,very high,very high,very high
38,amantadine,NC12CC3CC(CC(C3)C1)C2,90.0,high,very high,very high,very high
39,pramipexole,CCCNC1CCc2[nH]c(=N)sc2C1,93.0,high,very high,very high,very high
40,sobrerol,CC1=CCC(C(C)(C)O)CC1O,72.0,high,high,high,high
41,pentosan,O=S(=O)(O)OC1C(O)COC(OC2COC(O)C(OS(=O)(=O)O)C2OS(=O)(=O)O)C1OS(=O)(=O)O,3.0,low,very low,very low,very low
42,diethylcarbamazine,CCN(CC)C(=O)N1CCN(C)CC1,90.0,high,very high,very high,very high
43,miglustat,CCCCN1CC(O)C(O)C(O)C1CO,97.0,high,very high,very high,very high
44,voglibose,OCC(CO)NC1CC(O)(CO)C(O)C(O)C1O,6.0,low,very low,very low,very low
45,ethambutol,CCC(CO)NCCNC(CC)CO,77.0,high,high,high,high
46,anagrelide,OC1=NC2=Nc3ccc(Cl)c(Cl)c3CN2C1,75.0,high,high,high,high
47,rufinamide,N=C(O)c1cn(Cc2c(F)cccc2F)nn1,85.0,high,very high,very high,very high
48,amrinone,Nc1cc(-c2ccncc2)cnc1O,93.0,high,very high,very high,very high
49,amezinium,COc1cc(=N)cnn1-c1ccccc1,58.0,moderate,high,moderate,moderate
50,phenazopyridine,N=c1ccc(N=Nc2ccccc2)c(N)[nH]1,60.0,moderate,high,moderate,moderate
