,Name,smile,BA_pct,label1,label2,label3a,label3b,MolWt,ExactMolWt,qed,MolLogP,MolMR,VSA_total,LabuteASA,TPSA,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,NumHAcceptors,NumHDonors,HeavyAtomCount,NumHeteroatoms,NumRotatableBonds,NHOHCount,NOCount,FractionCSP3,RingCount,NumAliphaticRings,NumAromaticRings,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumSaturatedRings,BalabanJ,BertzCT,HallKierAlpha,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,fracVSA_PEOE01,fracVSA_PEOE02,fracVSA_PEOE03,fracVSA_PEOE04,fracVSA_PEOE05,fracVSA_PEOE06,fracVSA_PEOE07,fracVSA_PEOE08,fracVSA_PEOE09,fracVSA_PEOE10,fracVSA_PEOE11,fracVSA_PEOE12,fracVSA_PEOE13,fracVSA_PEOE14,fracVSA_SMR01,fracVSA_SMR02,fracVSA_SMR03,fracVSA_SMR04,fracVSA_SMR05,fracVSA_SMR06,fracVSA_SMR07,fracVSA_SMR08,fracVSA_SMR09,fracVSA_SMR10,fracVSA_SlogP01,fracVSA_SlogP02,fracVSA_SlogP03,fracVSA_SlogP04,fracVSA_SlogP05,fracVSA_SlogP06,fracVSA_SlogP07,fracVSA_SlogP08,fracVSA_SlogP09,fracVSA_SlogP10,fracVSA_SlogP11,fracVSA_SlogP12
0,sulfadiazine,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,90.0,high,very high,very high,very high,250.28300000000004,250.05244656,0.7871395577774678,0.8596000000000001,63.69490000000001,98.12153903796724,98.57832206048985,97.97,0.2637233954888739,-0.3987277171274398,0.3987277171274398,0.2637233954888739,5.0,2.0,17.0,7.0,3.0,3.0,6.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.285509074399646,595.9628413066204,-2.15,5.733667477162185,0.0,23.10784889067544,0.0,0.0,0.0,30.33183534230805,18.081073417909714,4.895483475517775,0.0,0.0,5.948339280986494,10.023291153407584,0.0,8.417796984328938,0.0,9.967957041894417,0.0,4.895483475517775,10.455762341614273,42.725522485534206,0.0,0.0,21.65901670907764,10.455762341614273,18.385754026223353,10.023291153407584,0.0,0.0,47.62100596105198,0.0,0.0,0.0,11.635725555670057,0.0,0.0,5.733667477162185,0.0,23.10784889067544,0.0,0.0,0.0,30.33183534230805,18.081073417909714,4.895483475517775,0.0,0.0,5.948339280986494,10.023291153407584,0.0,8.417796984328938,0.0,9.967957041894417,0.0,4.895483475517775,10.455762341614273,42.725522485534206,0.0,0.0,21.65901670907764,10.455762341614273,18.385754026223353,10.023291153407584,0.0,0.0,47.62100596105198,0.0,0.0,0.0,11.635725555670057,0.0,0.0,0.05843434105679482,0.0,0.23550230782391285,0.0,0.0,0.0,0.3091251486645702,0.18427221581709402,0.04989203719708791,0.0,0.0,0.060622156351265936,0.10215179308927434,0.0,0.0857894919592705,0.0,0.10158785868653575,0.0,0.04989203719708791,0.10655929823490141,0.4354346956278575,0.0,0.0,0.220736618294347,0.10655929823490141,0.18737735064580624,0.10215179308927434,0.0,0.0,0.48532673282494543,0.0,0.0,0.0,0.11858482520507264,0.0,0.0
1,clofarabine,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,50.0,moderate,low,moderate,moderate,303.681,303.053445112,0.648649936215886,-0.34940000000000027,66.644,116.00101378646647,116.52072798085469,119.31000000000002,0.22595283837058852,-0.3935666899883442,0.3935666899883442,0.22595283837058852,8.0,3.0,20.0,10.0,2.0,4.0,8.0,0.5,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0706641278559674,653.0999260663426,-1.5500000000000003,20.683585220643646,4.567099647791355,9.374393568622029,9.967957041894417,0.0,0.0,11.600939890232516,0.0,12.934202039277459,17.72463349311287,23.864616564847918,5.283586320044258,0.0,0.0,19.34033279115628,0.0,19.519035210632982,0.0,24.607509341741768,12.340549441675103,11.6109063948088,0.0,0.0,28.582680606451532,5.733667477162185,54.7185801358342,4.736862953800049,0.0,6.22790117073487,6.3273200747645415,5.283586320044258,11.16387793838399,0.0,10.208277825509848,0.0,11.600939890232516,20.683585220643646,4.567099647791355,9.374393568622029,9.967957041894417,0.0,0.0,11.600939890232516,0.0,12.934202039277459,17.72463349311287,23.864616564847918,5.283586320044258,0.0,0.0,19.34033279115628,0.0,19.519035210632982,0.0,24.607509341741768,12.340549441675103,11.6109063948088,0.0,0.0,28.582680606451532,5.733667477162185,54.7185801358342,4.736862953800049,0.0,6.22790117073487,6.3273200747645415,5.283586320044258,11.16387793838399,0.0,10.208277825509848,0.0,11.600939890232516,0.17830521083822412,0.039371204601697934,0.08081303139193526,0.08592991316647744,0.0,0.0,0.10000722848498042,0.0,0.11150076725266049,0.15279722921853253,0.20572765518047686,0.04554775986501491,0.0,0.0,0.16672554971595138,0.0,0.1682660743514141,0.0,0.21213184728746448,0.10638311717164356,0.10009314587700106,0.0,0.0,0.2464002655965253,0.04942773593096922,0.47170777521444446,0.040834668587635105,0.0,0.05368833398472818,0.054545386011986156,0.04554775986501491,0.09623948596634119,0.0,0.08800162595390024,0.0,0.10000722848498042
2,sulfamethoxazole,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,99.0,high,very high,very high,very high,253.28300000000002,253.052112212,0.804736706639606,1.3660199999999998,62.90290000000002,97.99316116235907,98.46930176378612,98.22,0.26263766546728673,-0.3987277171275083,0.3987277171275083,0.26263766546728673,5.0,2.0,17.0,7.0,3.0,3.0,6.0,0.1,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.276726283674452,616.5006093542685,-2.02,10.256762414135533,4.722094864452088,8.417796984328938,0.0,0.0,5.156663257125445,31.18920547353706,11.753753343145172,4.895483475517775,5.760247418874442,5.817862777835028,0.0,10.023291153407584,0.0,12.940891921302285,0.0,5.156663257125445,0.0,11.819220675208399,10.455762341614273,36.09208276118249,0.0,0.0,21.528540205926173,10.455762341614273,13.574460241454382,10.023291153407584,6.923737199690624,5.760247418874442,39.750413754799176,0.0,0.0,0.0,11.50524905251859,0.0,0.0,10.256762414135533,4.722094864452088,8.417796984328938,0.0,0.0,5.156663257125445,31.18920547353706,11.753753343145172,4.895483475517775,5.760247418874442,5.817862777835028,0.0,10.023291153407584,0.0,12.940891921302285,0.0,5.156663257125445,0.0,11.819220675208399,10.455762341614273,36.09208276118249,0.0,0.0,21.528540205926173,10.455762341614273,13.574460241454382,10.023291153407584,6.923737199690624,5.760247418874442,39.750413754799176,0.0,0.0,0.0,11.50524905251859,0.0,0.0,0.10466814512843106,0.0481880042284617,0.08590188217708364,0.0,0.0,0.052622685052293346,0.3182794095381974,0.11994462882640426,0.04995739924551202,0.058782136942501825,0.05937008979836619,0.0,0.10228561906274852,0.0,0.1320591331864607,0.0,0.052622685052293346,0.0,0.12061270944842602,0.10669889834751568,0.3683122611116061,0.0,0.0,0.21969431285369811,0.10669889834751568,0.13852456722937698,0.10228561906274852,0.07065531020291399,0.058782136942501825,0.4056447744239934,0.0,0.0,0.0,0.11740869379094958,0.0,0.0
3,tolazoline,c1ccc(CC2=NCCN2)cc1,90.0,high,very high,very high,very high,160.22000000000003,160.100048384,0.6910509635760047,1.2308,50.450700000000026,71.55043439115548,72.33052509302233,24.39,0.10083906625758018,-0.37169973881362073,0.37169973881362073,0.10083906625758018,2.0,1.0,12.0,2.0,2.0,1.0,2.0,0.3,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.036479851021026,277.1498704898862,-1.31,5.316788604006331,4.992404732635669,0.0,0.0,0.0,30.33183534230805,5.563451491696996,12.965578028838586,6.544756405912575,5.835619785757269,0.0,0.0,0.0,0.0,0.0,0.0,5.316788604006331,4.992404732635669,6.4208216229260096,13.08951281182515,35.89528683400505,0.0,0.0,5.835619785757269,5.316788604006331,18.92513259758242,6.4208216229260096,0.0,5.563451491696996,35.324240074943724,0.0,0.0,0.0,0.0,0.0,0.0,5.316788604006331,4.992404732635669,0.0,0.0,0.0,30.33183534230805,5.563451491696996,12.965578028838586,6.544756405912575,5.835619785757269,0.0,0.0,0.0,0.0,0.0,0.0,5.316788604006331,4.992404732635669,6.4208216229260096,13.08951281182515,35.89528683400505,0.0,0.0,5.835619785757269,5.316788604006331,18.92513259758242,6.4208216229260096,0.0,5.563451491696996,35.324240074943724,0.0,0.0,0.0,0.0,0.0,0.0,0.07430826450249409,0.06977462506157464,0.0,0.0,0.0,0.4239224485554967,0.07775566338678591,0.18120893519608447,0.09147053349995578,0.08155952979760839,0.0,0.0,0.0,0.0,0.0,0.0,0.07430826450249409,0.06977462506157464,0.08973840169612866,0.18294106699991156,0.5016781119422826,0.0,0.0,0.08155952979760839,0.07430826450249409,0.2645005967975199,0.08973840169612866,0.0,0.07775566338678591,0.49369707361707144,0.0,0.0,0.0,0.0,0.0,0.0
4,cotinine,CN1C(=O)CCC1c1cccnc1,97.0,high,very high,very high,very high,176.21900000000002,176.094963004,0.647200855723837,1.3749,48.982000000000035,76.60663399474456,77.3912862891444,33.2,0.2224138123975083,-0.3386463313109148,0.3386463313109148,0.2224138123975083,2.0,0.0,13.0,3.0,1.0,0.0,3.0,0.4,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.236360159695857,309.96060133940625,-1.38,4.899909730850478,9.77851570501903,0.0,0.0,0.0,6.06636706846161,18.050640183084614,25.862180748829353,6.041840829147961,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,9.883888251797686,0.0,18.88348407499998,7.04767198267719,30.08987277184637,0.0,0.0,5.907179729351506,0.0,22.83873996382638,4.794537184071822,0.0,24.446935566696975,24.526421280149375,0.0,0.0,0.0,0.0,0.0,0.0,4.899909730850478,9.77851570501903,0.0,0.0,0.0,6.06636706846161,18.050640183084614,25.862180748829353,6.041840829147961,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,9.883888251797686,0.0,18.88348407499998,7.04767198267719,30.08987277184637,0.0,0.0,5.907179729351506,0.0,22.83873996382638,4.794537184071822,0.0,24.446935566696975,24.526421280149375,0.0,0.0,0.0,0.0,0.0,0.0,0.0639619504909539,0.1276458081383639,0.0,0.0,0.0,0.07918853436215173,0.23562763747488163,0.3375971427044239,0.07886837619784272,0.0,0.0,0.07711055063138209,0.0,0.0,0.06258644890207213,0.0,0.12902130972724568,0.0,0.24649933158916035,0.09199819408800393,0.3927841650621358,0.0,0.0,0.07711055063138209,0.0,0.2981300544466317,0.06258644890207213,0.0,0.31912295700623144,0.3201605396450647,0.0,0.0,0.0,0.0,0.0,0.0
5,methylaminorex,CC1NC(=N)OC1c1ccccc1,62.0,moderate,high,moderate,high,176.219,176.094963004,0.683275999090964,1.67077,50.592400000000026,76.44944654153402,77.23409883593389,45.11,0.28225116958539376,-0.4550553184950255,0.4550553184950255,0.28225116958539376,2.0,2.0,13.0,3.0,1.0,2.0,3.0,0.3,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.2271242420459676,309.96060133940625,-1.5099999999999998,10.05365155780638,5.409283605791522,0.0,0.0,0.0,30.33183534230805,12.487188691387619,0.0,6.041840829147961,6.103966387748303,0.0,0.0,6.021680127344178,0.0,4.736862953800049,5.409283605791522,5.316788604006331,0.0,19.069544416586886,0.0,35.89528683400505,0.0,0.0,6.021680127344178,5.316788604006331,12.063520956492138,4.736862953800049,5.409283605791522,18.591155079135923,30.33183534230805,0.0,0.0,0.0,0.0,0.0,0.0,10.05365155780638,5.409283605791522,0.0,0.0,0.0,30.33183534230805,12.487188691387619,0.0,6.041840829147961,6.103966387748303,0.0,0.0,6.021680127344178,0.0,4.736862953800049,5.409283605791522,5.316788604006331,0.0,19.069544416586886,0.0,35.89528683400505,0.0,0.0,6.021680127344178,5.316788604006331,12.063520956492138,4.736862953800049,5.409283605791522,18.591155079135923,30.33183534230805,0.0,0.0,0.0,0.0,0.0,0.0,0.1315071856320681,0.07075634750151823,0.0,0.0,0.0,0.39675676822368033,0.16333916406580506,0.0,0.07903053720428839,0.07984317302326178,0.0,0.0,0.07876682434937805,0.0,0.06196072264861423,0.07075634750151823,0.06954646298345388,0.0,0.2494399276811853,0.0,0.4695297148358503,0.0,0.0,0.07876682434937805,0.06954646298345388,0.15779736155366644,0.06196072264861423,0.07075634750151823,0.2431823370890669,0.39675676822368033,0.0,0.0,0.0,0.0,0.0,0.0
6,serotonin,NCCc1c[nH]c2ccc(O)cc12,50.0,moderate,low,moderate,moderate,176.21899999999997,176.094963004,0.6468452624532928,1.3747,52.721900000000026,75.40158445584854,76.1862367502484,62.040000000000006,0.11583814000409359,-0.5079413894628015,0.5079413894628015,0.11583814000409359,2.0,3.0,13.0,3.0,2.0,4.0,3.0,0.2,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.576000355142546,419.7820090914246,-1.48,15.8241733929501,0.0,0.0,0.0,0.0,0.0,36.72813072592041,17.099768503694133,0.0,5.749511833283905,0.0,0.0,0.0,0.0,5.106527394840706,0.0,4.9839785209472085,5.733667477162185,6.4208216229260096,6.544756405912575,29.9593962686949,0.0,5.749511833283905,10.902924932081056,5.733667477162185,16.635262321700488,6.4208216229260096,0.0,5.563451491696996,24.395944776997904,0.0,10.902924932081056,0.0,0.0,5.749511833283905,0.0,15.8241733929501,0.0,0.0,0.0,0.0,0.0,36.72813072592041,17.099768503694133,0.0,5.749511833283905,0.0,0.0,0.0,0.0,5.106527394840706,0.0,4.9839785209472085,5.733667477162185,6.4208216229260096,6.544756405912575,29.9593962686949,0.0,5.749511833283905,10.902924932081056,5.733667477162185,16.635262321700488,6.4208216229260096,0.0,5.563451491696996,24.395944776997904,0.0,10.902924932081056,0.0,0.0,5.749511833283905,0.0,0.2098652635372133,0.0,0.0,0.0,0.0,0.0,0.48710025115488914,0.22678261507497788,0.0,0.0762518702329198,0.0,0.0,0.0,0.0,0.06772440435692485,0.0,0.06609912188072893,0.07604173729955951,0.08515499600258039,0.08679865884973363,0.3973311235420742,0.0,0.0762518702329198,0.14459808783547876,0.07604173729955951,0.2206221850873874,0.08515499600258039,0.0,0.07378427829928003,0.3235468452427942,0.0,0.14459808783547876,0.0,0.0,0.0762518702329198,0.0
7,ritipenem,CC(O)C1C(=O)N2C(C(=O)O)=C(COC(=N)O)SC12,37.0,moderate,low,low,low,288.281,288.04160710400004,0.3171885475366423,-0.2959300000000001,64.36510000000001,111.20542873377465,111.71005009917218,131.15,0.37785363662341237,-0.4765373087421193,0.4765373087421193,0.37785363662341237,6.0,4.0,19.0,9.0,4.0,4.0,8.0,0.5,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2.212706080901121,488.41154924230983,-1.7399999999999998,20.056445138322168,9.694446914922299,10.203820789863343,0.0,0.0,11.761884949391115,6.923737199690624,0.0,16.92700894779974,17.67779409053749,0.0,5.907179729351506,0.0,12.05311097389637,29.64551950646581,5.409283605791522,4.899909730850478,5.917906046161393,18.401576400407667,6.606881964512918,10.60217582694588,0.0,0.0,29.722175652638988,0.0,56.26450378385042,14.325937321943693,11.327189651952915,6.923737199690624,10.60217582694588,0.0,0.0,0.0,0.0,0.0,11.761884949391115,20.056445138322168,9.694446914922299,10.203820789863343,0.0,0.0,11.761884949391115,6.923737199690624,0.0,16.92700894779974,17.67779409053749,0.0,5.907179729351506,0.0,12.05311097389637,29.64551950646581,5.409283605791522,4.899909730850478,5.917906046161393,18.401576400407667,6.606881964512918,10.60217582694588,0.0,0.0,29.722175652638988,0.0,56.26450378385042,14.325937321943693,11.327189651952915,6.923737199690624,10.60217582694588,0.0,0.0,0.0,0.0,0.0,11.761884949391115,0.1803549104274146,0.0871760221178659,0.0917564988152804,0.0,0.0,0.10576718316107589,0.06226078419486177,0.0,0.15221387247490348,0.15896520783043835,0.0,0.0531195265969728,0.0,0.10838599438118682,0.26658338395904274,0.04864226204946635,0.04406178535205185,0.05321598157162666,0.16547372380948205,0.05941150571281701,0.09533865340627791,0.0,0.0,0.2672727041392355,0.0,0.5059510531499988,0.1288240824666926,0.10185824362109301,0.06226078419486177,0.09533865340627791,0.0,0.0,0.0,0.0,0.0,0.10576718316107589
8,didanosine,OCC1CCC(n2cnc3c(O)ncnc32)O1,38.0,moderate,low,low,low,236.23100000000002,236.090940244,0.7733612497215705,0.20180000000000003,57.217600000000026,95.94785214731101,96.71203565403403,93.29,0.24243874697318593,-0.49160384903248544,0.49160384903248544,0.24243874697318593,7.0,2.0,17.0,7.0,2.0,2.0,7.0,0.5,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.9870447319479303,541.3305738992902,-1.73,14.94991774348146,4.567099647791355,9.967957041894417,4.9839785209472085,0.0,0.0,12.841643245852019,0.0,19.03816842702576,12.55522124549941,11.16387793838399,5.879988336435371,0.0,0.0,14.94991774348146,0.0,19.51903521063298,0.0,25.17351080433519,6.606881964512918,12.654640149529083,0.0,5.879988336435371,11.16387793838399,0.0,42.44293835257562,4.736862953800049,0.0,19.06954441658689,12.654640149529083,0.0,11.16387793838399,0.0,0.0,5.879988336435371,0.0,14.94991774348146,4.567099647791355,9.967957041894417,4.9839785209472085,0.0,0.0,12.841643245852019,0.0,19.03816842702576,12.55522124549941,11.16387793838399,5.879988336435371,0.0,0.0,14.94991774348146,0.0,19.51903521063298,0.0,25.17351080433519,6.606881964512918,12.654640149529083,0.0,5.879988336435371,11.16387793838399,0.0,42.44293835257562,4.736862953800049,0.0,19.06954441658689,12.654640149529083,0.0,11.16387793838399,0.0,0.0,5.879988336435371,0.0,0.15581294848089458,0.047599811205563815,0.10388931923760394,0.05194465961880197,0.0,0.0,0.13383981984438734,0.0,0.19842203864861935,0.13085463576842848,0.1163535992576866,0.06128316793801372,0.0,0.0,0.15581294848089458,0.0,0.2034337900619697,0.0,0.26236659019407443,0.06885909185720193,0.13189081221015886,0.0,0.06128316793801372,0.1163535992576866,0.0,0.4423542309984383,0.04936914008796602,0.0,0.19874904950773642,0.13189081221015886,0.0,0.1163535992576866,0.0,0.0,0.06128316793801372,0.0
9,tazobactam,CC1(Cn2ccnn2)C(C(=O)O)N2C(=O)CC2S1(=O)=O,0.0,low,very low,very low,very low,300.296,300.05284048399994,0.6721670015102429,-1.523199999999998,64.02160000000002,113.16665493807533,113.637122738197,122.45999999999998,0.32769113697001484,-0.47966933031998454,0.47966933031998454,0.32769113697001484,7.0,1.0,20.0,10.0,3.0,1.0,9.0,0.6,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.097498683882936,684.5109353405426,-1.9700000000000002,10.006437125691184,9.476340119217006,13.212334168400758,0.0,5.098681808301038,5.213385095654868,6.923737199690624,6.196843571613076,19.162421600451662,10.120895266186299,15.879093965565463,5.907179729351506,0.0,5.969305287951849,23.113398747313287,0.0,19.89377956995157,0.0,36.052051323863466,0.0,12.393687143226153,0.0,0.0,21.713738153720858,0.0,61.45732506175882,25.97108391047372,0.0,13.344558822616634,12.393687143226153,0.0,0.0,0.0,0.0,0.0,0.0,10.006437125691184,9.476340119217006,13.212334168400758,0.0,5.098681808301038,5.213385095654868,6.923737199690624,6.196843571613076,19.162421600451662,10.120895266186299,15.879093965565463,5.907179729351506,0.0,5.969305287951849,23.113398747313287,0.0,19.89377956995157,0.0,36.052051323863466,0.0,12.393687143226153,0.0,0.0,21.713738153720858,0.0,61.45732506175882,25.97108391047372,0.0,13.344558822616634,12.393687143226153,0.0,0.0,0.0,0.0,0.0,0.0,0.08842213398608181,0.08373791842130926,0.11675112404471559,0.0,0.04505463036873389,0.04606820885982383,0.06118177835581767,0.054758564481772326,0.16932922167698,0.08943354623077303,0.14031601423806764,0.05219894263538945,0.0,0.052747916700535566,0.20424213086408638,0.0,0.17579188481657804,0.0,0.3185748606211884,0.0,0.10951712896354465,0.0,0.0,0.19187399473460262,0.0,0.5430692026320669,0.22949413786848316,0.0,0.11791953053590531,0.10951712896354465,0.0,0.0,0.0,0.0,0.0,0.0
